"Description", "Name", "Attribute", "Value",
"Creative Labs, Inc", "CreativeAdpcm", "", "0x0200",
"Creative Labs, Inc", "CreativeFastspeech8", "", "0x0202",
"Creative Labs, Inc", "CreativeFastspeech10", "", "0x0203",
"Quarterdeck Corporation", "Quarterdeck", "", "0x0220",
"Fujitsu Corporation", "FmTownsSnd", "", "0x0300",
"Brooktree Corporation", "BzvDigital", "", "0x0400",
"AT&amp;T Labs, Inc.", "VmeVmpcm", "", "0x0680",
"Ing C. Olivetti &amp; C., S.p.A.", "Oligsm", "", "0x1000",
"Ing C. Olivetti &amp; C., S.p.A.", "Oliadpcm", "", "0x1001",
"Ing C. Olivetti &amp; C., S.p.A.", "Olicelp", "", "0x1002",
"Ing C. Olivetti &amp; C., S.p.A.", "Olisbc", "", "0x1003",
"Ing C. Olivetti &amp; C., S.p.A.", "Oliopr", "", "0x1004",
"Lernout &amp; Hauspie", "LhCodec", "", "0x1100",
"Norris Communications, Inc.", "Norris", "", "0x1400",
"AT&amp;T Labs, Inc.", "SoundspaceMusicompress", "", "0x1500",
"FAST Multimedia AG", "Dvm", "", "0x2000",
"?????", "InterwavVsc112", "", "0x7150",
"Extensible wave format", "Extensible", "", "0xFFFEu",
